"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 74.284221 74.284221 153.764221 153.764221
2 30.084052 30.084052 109.564052 109.564052
5 15.227700 15.227700 94.707700 94.707700
11 11.202165 11.202165 90.682165 90.682165
13 11.110406 11.110406 90.590406 90.590406
46 10.976910 10.976910 90.456910 90.456910
60 10.461855 10.461855 89.941855 89.941855
61 9.381345 9.381345 88.861345 88.861345
267 9.334061 9.334061 88.814061 88.814061
290 9.156999 9.156999 88.636999 88.636999
297 9.114537 9.114537 88.594537 88.594537
302 8.983737 8.983737 88.463737 88.463737
309 8.871448 8.871448 88.351448 88.351448
310 8.170499 8.170499 87.650499 87.650499
342 8.097365 8.097365 87.577365 87.577365
344 7.897820 7.897820 87.377820 87.377820
354 7.815533 7.815533 87.295533 87.295533
362 7.804425 7.804425 87.284425 87.284425
364 7.544450 7.544450 87.024450 87.024450
383 7.344192 7.344192 86.824192 86.824192
386 7.088909 7.088909 86.568909 86.568909
401 6.623694 6.623694 86.103694 86.103694
420 6.605888 6.605888 86.085888 86.085888
421 6.021642 6.021642 85.501642 85.501642
441 6.000580 6.000580 85.480580 85.480580
442 5.814351 5.814351 85.294351 85.294351
455 5.714303 5.714303 85.194303 85.194303
459 5.550141 5.550141 85.030141 85.030141
461 5.257805 5.257805 84.737805 84.737805
463 5.059174 5.059174 84.539174 84.539174
484 5.028163 5.028163 84.508163 84.508163
488 4.894577 4.894577 84.374577 84.374577
490 4.891589 4.891589 84.371589 84.371589
499 4.865524 4.865524 84.345524 84.345524
503 4.699585 4.699585 84.179585 84.179585
507 4.495381 4.495381 83.975381 83.975381
522 4.444293 4.444293 83.924293 83.924293
523 4.423612 4.423612 83.903612 83.903612
524 4.415206 4.415206 83.895206 83.895206
525 4.310442 4.310442 83.790442 83.790442
539 4.268920 4.268920 83.748920 83.748920
541 4.185164 4.185164 83.665164 83.665164
545 4.099236 4.099236 83.579236 83.579236
562 3.981126 3.981126 83.461126 83.461126
580 3.617435 3.617435 83.097435 83.097435
583 3.485495 3.485495 82.965495 82.965495
585 3.253441 3.253441 82.733441 82.733441
601 3.199287 3.199287 82.679287 82.679287
604 3.048484 3.048484 82.528484 82.528484
621 2.832276 2.832276 82.312276 82.312276
625 2.805055 2.805055 82.285055 82.285055
631 2.732829 2.732829 82.212829 82.212829
653 2.637324 2.637324 82.117324 82.117324
666 2.608204 2.608204 82.088204 82.088204
668 2.590511 2.590511 82.070511 82.070511
674 2.502384 2.502384 81.982384 81.982384
688 2.416903 2.416903 81.896903 81.896903
701 2.344946 2.344946 81.824946 81.824946
703 2.308583 2.308583 81.788583 81.788583
705 2.306602 2.306602 81.786602 81.786602
721 2.177709 2.177709 81.657709 81.657709
745 2.143719 2.143719 81.623719 81.623719
758 2.133828 2.133828 81.613828 81.613828
765 2.034420 2.034420 81.514420 81.514420
778 1.938954 1.938954 81.418954 81.418954
784 1.808551 1.808551 81.288551 81.288551
792 1.790078 1.790078 81.270078 81.270078
