"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 4764626.286954 4764626.286954 4764416.406954 4764416.406954
3 3113879.240427 3113879.240427 3113669.360427 3113669.360427
7 3100305.979032 3100305.979032 3100096.099032 3100096.099032
9 2531319.352320 2531319.352320 2531109.472320 2531109.472320
11 1401624.431730 1401624.431730 1401414.551730 1401414.551730
18 885638.514546 885638.514546 885428.634546 885428.634546
45 825707.662872 825707.662872 825497.782872 825497.782872
70 825064.176272 825064.176272 824854.296272 824854.296272
77 699853.751651 699853.751651 699643.871651 699643.871651
222 563298.037865 563298.037865 563088.157865 563088.157865
225 554442.257227 554442.257227 554232.377227 554232.377227
228 541933.991275 541933.991275 541724.111275 541724.111275
234 539743.638160 539743.638160 539533.758160 539533.758160
238 530341.771524 530341.771524 530131.891524 530131.891524
240 489617.643738 489617.643738 489407.763738 489407.763738
267 485528.391370 485528.391370 485318.511370 485318.511370
277 480689.721657 480689.721657 480479.841657 480479.841657
282 440451.506858 440451.506858 440241.626858 440241.626858
285 434503.394722 434503.394722 434293.514722 434293.514722
294 422491.668383 422491.668383 422281.788383 422281.788383
309 421198.072061 421198.072061 420988.192061 420988.192061
315 380978.312241 380978.312241 380768.432241 380768.432241
324 336374.671835 336374.671835 336164.791835 336164.791835
367 325197.103636 325197.103636 324987.223636 324987.223636
368 307262.824004 307262.824004 307052.944004 307052.944004
381 291521.496363 291521.496363 291311.616363 291311.616363
397 289678.974827 289678.974827 289469.094827 289469.094827
401 270410.136645 270410.136645 270200.256645 270200.256645
402 269418.334967 269418.334967 269208.454967 269208.454967
422 261673.586198 261673.586198 261463.706198 261463.706198
439 253162.767573 253162.767573 252952.887573 252952.887573
442 242208.905355 242208.905355 241999.025355 241999.025355
469 237847.245311 237847.245311 237637.365311 237637.365311
482 236712.368055 236712.368055 236502.488055 236502.488055
484 227641.774663 227641.774663 227431.894663 227431.894663
508 227386.238773 227386.238773 227176.358773 227176.358773
509 223025.336578 223025.336578 222815.456578 222815.456578
531 223014.494505 223014.494505 222804.614505 222804.614505
532 213436.309104 213436.309104 213226.429104 213226.429104
541 213310.548504 213310.548504 213100.668504 213100.668504
542 213134.501479 213134.501479 212924.621479 212924.621479
548 211553.671496 211553.671496 211343.791496 211343.791496
551 211258.147036 211258.147036 211048.267036 211048.267036
556 211169.924746 211169.924746 210960.044746 210960.044746
558 204949.501586 204949.501586 204739.621586 204739.621586
561 198211.014414 198211.014414 198001.134414 198001.134414
582 192906.724295 192906.724295 192696.844295 192696.844295
584 186334.044240 186334.044240 186124.164240 186124.164240
610 176164.555632 176164.555632 175954.675632 175954.675632
612 175378.057000 175378.057000 175168.177000 175168.177000
623 168234.635349 168234.635349 168024.755349 168024.755349
625 165025.840552 165025.840552 164815.960552 164815.960552
641 164582.820430 164582.820430 164372.940430 164372.940430
642 163982.545758 163982.545758 163772.665758 163772.665758
652 161502.221541 161502.221541 161292.341541 161292.341541
659 153397.543582 153397.543582 153187.663582 153187.663582
663 150989.958851 150989.958851 150780.078851 150780.078851
675 147840.015929 147840.015929 147630.135929 147630.135929
681 138397.347243 138397.347243 138187.467243 138187.467243
703 138182.009636 138182.009636 137972.129636 137972.129636
707 135432.762150 135432.762150 135222.882150 135222.882150
721 135350.794266 135350.794266 135140.914266 135140.914266
727 132855.552348 132855.552348 132645.672348 132645.672348
729 132825.098491 132825.098491 132615.218491 132615.218491
731 130873.116629 130873.116629 130663.236629 130663.236629
733 130280.679080 130280.679080 130070.799080 130070.799080
741 127855.428361 127855.428361 127645.548361 127645.548361
748 126368.176641 126368.176641 126158.296641 126158.296641
761 123031.932380 123031.932380 122822.052380 122822.052380
763 122671.170279 122671.170279 122461.290279 122461.290279
772 122581.250798 122581.250798 122371.370798 122371.370798
783 121760.663884 121760.663884 121550.783884 121550.783884
789 119637.348078 119637.348078 119427.468078 119427.468078
801 116413.455906 116413.455906 116203.575906 116203.575906
823 115062.592564 115062.592564 114852.712564 114852.712564
824 112916.071081 112916.071081 112706.191081 112706.191081
840 111151.674010 111151.674010 110941.794010 110941.794010
847 110898.781128 110898.781128 110688.901128 110688.901128
852 110152.323011 110152.323011 109942.443011 109942.443011
866 109789.174828 109789.174828 109579.294828 109579.294828
868 107212.146644 107212.146644 107002.266644 107002.266644
885 105086.576404 105086.576404 104876.696404 104876.696404
905 104831.199888 104831.199888 104621.319888 104621.319888
906 98401.127033 98401.127033 98191.247033 98191.247033
926 96807.147134 96807.147134 96597.267134 96597.267134
927 95585.884810 95585.884810 95376.004810 95376.004810
933 94570.031993 94570.031993 94360.151993 94360.151993
964 93840.614753 93840.614753 93630.734753 93630.734753
