"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 51.408762 51.408762 -410.681238 -410.681238
94 34.311824 34.311824 -427.778176 -427.778176
101 30.894708 30.894708 -431.195292 -431.195292
190 29.554046 29.554046 -432.535954 -432.535954
216 28.940615 28.940615 -433.149385 -433.149385
225 26.981772 26.981772 -435.108228 -435.108228
237 21.707865 21.707865 -440.382135 -440.382135
282 17.054650 17.054650 -445.035350 -445.035350
334 14.860258 14.860258 -447.229742 -447.229742
382 14.405426 14.405426 -447.684574 -447.684574
384 14.126784 14.126784 -447.963216 -447.963216
398 12.910832 12.910832 -449.179168 -449.179168
468 11.862201 11.862201 -450.227799 -450.227799
496 10.630477 10.630477 -451.459523 -451.459523
766 10.517639 10.517639 -451.572361 -451.572361
873 10.478993 10.478993 -451.611007 -451.611007
961 10.127622 10.127622 -451.962378 -451.962378
1265 10.084867 10.084867 -452.005133 -452.005133
1273 10.040421 10.040421 -452.049579 -452.049579
1438 9.998723 9.998723 -452.091277 -452.091277
1505 9.972177 9.972177 -452.117823 -452.117823
1657 9.960545 9.960545 -452.129455 -452.129455
2009 9.954825 9.954825 -452.135175 -452.135175
2032 9.954583 9.954583 -452.135417 -452.135417
2048 9.953967 9.953967 -452.136033 -452.136033
2088 9.952224 9.952224 -452.137776 -452.137776
2541 9.950734 9.950734 -452.139266 -452.139266
2738 9.950500 9.950500 -452.139500 -452.139500
2761 9.950245 9.950245 -452.139755 -452.139755
3103 9.949960 9.949960 -452.140040 -452.140040
3244 9.949954 9.949954 -452.140046 -452.140046
3382 9.949877 9.949877 -452.140123 -452.140123
3394 9.949827 9.949827 -452.140173 -452.140173
3410 9.949704 9.949704 -452.140296 -452.140296
3465 9.949635 9.949635 -452.140365 -452.140365
3581 9.949611 9.949611 -452.140389 -452.140389
3955 9.949595 9.949595 -452.140405 -452.140405
4042 9.949590 9.949590 -452.140410 -452.140410
4211 9.949588 9.949588 -452.140412 -452.140412
4330 9.949587 9.949587 -452.140413 -452.140413
4383 9.949585 9.949585 -452.140415 -452.140415
4606 9.949581 9.949581 -452.140419 -452.140419
4967 9.949581 9.949581 -452.140419 -452.140419
5186 9.949581 9.949581 -452.140419 -452.140419
5448 9.949581 9.949581 -452.140419 -452.140419
5620 9.949581 9.949581 -452.140419 -452.140419
5731 9.949581 9.949581 -452.140419 -452.140419
6046 9.949581 9.949581 -452.140419 -452.140419
6172 9.949581 9.949581 -452.140419 -452.140419
6194 9.949581 9.949581 -452.140419 -452.140419
6289 9.949581 9.949581 -452.140419 -452.140419
6374 9.949581 9.949581 -452.140419 -452.140419
6397 9.949581 9.949581 -452.140419 -452.140419
6409 9.949581 9.949581 -452.140419 -452.140419
6603 9.949581 9.949581 -452.140419 -452.140419
6610 9.949581 9.949581 -452.140419 -452.140419
6764 9.949580 9.949580 -452.140420 -452.140420
6789 9.949580 9.949580 -452.140420 -452.140420
6949 9.949580 9.949580 -452.140420 -452.140420
7164 9.949580 9.949580 -452.140420 -452.140420
7213 9.949580 9.949580 -452.140420 -452.140420
7451 9.949580 9.949580 -452.140420 -452.140420
7497 9.949580 9.949580 -452.140420 -452.140420
7683 9.949580 9.949580 -452.140420 -452.140420
7712 9.949580 9.949580 -452.140420 -452.140420
7762 9.949580 9.949580 -452.140420 -452.140420
7789 9.949580 9.949580 -452.140420 -452.140420
7946 9.949580 9.949580 -452.140420 -452.140420
8387 9.949580 9.949580 -452.140420 -452.140420
8497 9.949580 9.949580 -452.140420 -452.140420
8620 9.949580 9.949580 -452.140420 -452.140420
9083 9.949580 9.949580 -452.140420 -452.140420
9102 9.949580 9.949580 -452.140420 -452.140420
9247 9.949580 9.949580 -452.140420 -452.140420
9540 9.949580 9.949580 -452.140420 -452.140420
9676 9.949580 9.949580 -452.140420 -452.140420
9727 9.949580 9.949580 -452.140420 -452.140420
9845 9.949580 9.949580 -452.140420 -452.140420
10177 9.949580 9.949580 -452.140420 -452.140420
10221 9.949580 9.949580 -452.140420 -452.140420
10751 9.949580 9.949580 -452.140420 -452.140420
50000 9.949580 9.949580 -452.140420 -452.140420
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 250.094364 250.094364 -211.995636 -211.995636
5 136.418433 136.418433 -325.671567 -325.671567
19 90.255553 90.255553 -371.834447 -371.834447
73 73.828620 73.828620 -388.261380 -388.261380
97 62.750604 62.750604 -399.339396 -399.339396
230 54.528793 54.528793 -407.561207 -407.561207
241 54.204700 54.204700 -407.885300 -407.885300
301 53.646290 53.646290 -408.443710 -408.443710
321 52.905955 52.905955 -409.184045 -409.184045
332 52.571297 52.571297 -409.518703 -409.518703
343 49.914463 49.914463 -412.175537 -412.175537
387 43.891875 43.891875 -418.198125 -418.198125
453 42.363612 42.363612 -419.726388 -419.726388
471 42.319854 42.319854 -419.770146 -419.770146
479 41.386528 41.386528 -420.703472 -420.703472
571 41.374529 41.374529 -420.715471 -420.715471
579 40.490409 40.490409 -421.599591 -421.599591
781 40.483427 40.483427 -421.606573 -421.606573
827 40.123353 40.123353 -421.966647 -421.966647
879 40.045308 40.045308 -422.044692 -422.044692
916 39.981586 39.981586 -422.108414 -422.108414
1001 39.943674 39.943674 -422.146326 -422.146326
1178 39.926248 39.926248 -422.163752 -422.163752
1264 39.913087 39.913087 -422.176913 -422.176913
1273 39.850590 39.850590 -422.239410 -422.239410
1437 39.828494 39.828494 -422.261506 -422.261506
1650 39.820404 39.820404 -422.269596 -422.269596
1875 39.806195 39.806195 -422.283805 -422.283805
2034 39.805769 39.805769 -422.284231 -422.284231
2047 39.805213 39.805213 -422.284787 -422.284787
2096 39.802030 39.802030 -422.287970 -422.287970
2299 39.798631 39.798631 -422.291369 -422.291369
2889 39.798556 39.798556 -422.291444 -422.291444
2894 39.798529 39.798529 -422.291471 -422.291471
2918 39.798304 39.798304 -422.291696 -422.291696
3054 39.798276 39.798276 -422.291724 -422.291724
3260 39.798235 39.798235 -422.291765 -422.291765
3366 39.798182 39.798182 -422.291818 -422.291818
3450 39.798100 39.798100 -422.291900 -422.291900
3905 39.798095 39.798095 -422.291905 -422.291905
3927 39.798095 39.798095 -422.291905 -422.291905
3934 39.798094 39.798094 -422.291906 -422.291906
3979 39.798086 39.798086 -422.291914 -422.291914
3981 39.798085 39.798085 -422.291915 -422.291915
4085 39.798081 39.798081 -422.291919 -422.291919
4093 39.798079 39.798079 -422.291921 -422.291921
4243 39.798079 39.798079 -422.291921 -422.291921
4536 39.798077 39.798077 -422.291923 -422.291923
4543 39.798077 39.798077 -422.291923 -422.291923
4559 39.798077 39.798077 -422.291923 -422.291923
4590 39.798076 39.798076 -422.291924 -422.291924
4743 39.798074 39.798074 -422.291926 -422.291926
4775 39.798074 39.798074 -422.291926 -422.291926
4885 39.798074 39.798074 -422.291926 -422.291926
5383 39.798074 39.798074 -422.291926 -422.291926
5568 39.798074 39.798074 -422.291926 -422.291926
5945 39.798074 39.798074 -422.291926 -422.291926
6091 39.798074 39.798074 -422.291926 -422.291926
6222 39.798074 39.798074 -422.291926 -422.291926
6276 39.798073 39.798073 -422.291927 -422.291927
6351 39.798073 39.798073 -422.291927 -422.291927
6442 39.798073 39.798073 -422.291927 -422.291927
6489 39.798073 39.798073 -422.291927 -422.291927
6722 39.798073 39.798073 -422.291927 -422.291927
7251 39.798073 39.798073 -422.291927 -422.291927
7380 39.798073 39.798073 -422.291927 -422.291927
7962 39.798073 39.798073 -422.291927 -422.291927
8020 39.798073 39.798073 -422.291927 -422.291927
8289 39.798073 39.798073 -422.291927 -422.291927
8473 39.798073 39.798073 -422.291927 -422.291927
8725 39.798073 39.798073 -422.291927 -422.291927
8773 39.798073 39.798073 -422.291927 -422.291927
8950 39.798073 39.798073 -422.291927 -422.291927
9064 39.798073 39.798073 -422.291927 -422.291927
9267 39.798073 39.798073 -422.291927 -422.291927
9328 39.798073 39.798073 -422.291927 -422.291927
9486 39.798073 39.798073 -422.291927 -422.291927
9839 39.798073 39.798073 -422.291927 -422.291927
10037 39.798073 39.798073 -422.291927 -422.291927
10042 39.798073 39.798073 -422.291927 -422.291927
10345 39.798073 39.798073 -422.291927 -422.291927
50000 39.798073 39.798073 -422.291927 -422.291927
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 343.498071 343.498071 -118.591929 -118.591929
2 107.027037 107.027037 -355.062963 -355.062963
7 86.484088 86.484088 -375.605912 -375.605912
52 78.105341 78.105341 -383.984659 -383.984659
85 74.131963 74.131963 -387.958037 -387.958037
153 66.185553 66.185553 -395.904447 -395.904447
170 58.447369 58.447369 -403.642631 -403.642631
207 57.668354 57.668354 -404.421646 -404.421646
209 56.630479 56.630479 -405.459521 -405.459521
227 52.103369 52.103369 -409.986631 -409.986631
248 51.209199 51.209199 -410.880801 -410.880801
267 50.849181 50.849181 -411.240819 -411.240819
270 50.627816 50.627816 -411.462184 -411.462184
275 48.804885 48.804885 -413.285115 -413.285115
302 47.692387 47.692387 -414.397613 -414.397613
346 47.128081 47.128081 -414.961919 -414.961919
367 31.084263 31.084263 -431.005737 -431.005737
534 29.875151 29.875151 -432.214849 -432.214849
539 29.841986 29.841986 -432.248014 -432.248014
614 29.493137 29.493137 -432.596863 -432.596863
631 28.806142 28.806142 -433.283858 -433.283858
659 28.724040 28.724040 -433.365960 -433.365960
672 28.546757 28.546757 -433.543243 -433.543243
674 25.504788 25.504788 -436.585212 -436.585212
681 22.813475 22.813475 -439.276525 -439.276525
701 22.538245 22.538245 -439.551755 -439.551755
712 20.742015 20.742015 -441.347985 -441.347985
743 19.026594 19.026594 -443.063406 -443.063406
764 17.890525 17.890525 -444.199475 -444.199475
782 17.024809 17.024809 -445.065191 -445.065191
795 16.961932 16.961932 -445.128068 -445.128068
818 16.652675 16.652675 -445.437325 -445.437325
968 16.348805 16.348805 -445.741195 -445.741195
1040 16.071224 16.071224 -446.018776 -446.018776
1230 15.997100 15.997100 -446.092900 -446.092900
1617 15.974497 15.974497 -446.115503 -446.115503
1642 15.959746 15.959746 -446.130254 -446.130254
1758 15.930211 15.930211 -446.159789 -446.159789
2021 15.929591 15.929591 -446.160409 -446.160409
2259 15.924852 15.924852 -446.165148 -446.165148
2399 15.924521 15.924521 -446.165479 -446.165479
2579 15.924369 15.924369 -446.165631 -446.165631
2627 15.924205 15.924205 -446.165795 -446.165795
2678 15.922663 15.922663 -446.167337 -446.167337
2723 15.922353 15.922353 -446.167647 -446.167647
2733 15.921482 15.921482 -446.168518 -446.168518
2860 15.921143 15.921143 -446.168857 -446.168857
2962 15.920960 15.920960 -446.169040 -446.169040
3001 15.920038 15.920038 -446.169962 -446.169962
3088 15.919945 15.919945 -446.170055 -446.170055
3208 15.919835 15.919835 -446.170165 -446.170165
3252 15.919479 15.919479 -446.170521 -446.170521
3702 15.919461 15.919461 -446.170539 -446.170539
3763 15.919381 15.919381 -446.170619 -446.170619
3821 15.919355 15.919355 -446.170645 -446.170645
3881 15.919352 15.919352 -446.170648 -446.170648
4019 15.919340 15.919340 -446.170660 -446.170660
4173 15.919325 15.919325 -446.170675 -446.170675
4487 15.919321 15.919321 -446.170679 -446.170679
4561 15.919317 15.919317 -446.170683 -446.170683
4634 15.919314 15.919314 -446.170686 -446.170686
4705 15.919313 15.919313 -446.170687 -446.170687
4867 15.919313 15.919313 -446.170687 -446.170687
5085 15.919313 15.919313 -446.170687 -446.170687
5123 15.919312 15.919312 -446.170688 -446.170688
5135 15.919311 15.919311 -446.170689 -446.170689
5195 15.919311 15.919311 -446.170689 -446.170689
5222 15.919311 15.919311 -446.170689 -446.170689
5247 15.919311 15.919311 -446.170689 -446.170689
5347 15.919310 15.919310 -446.170690 -446.170690
