"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 259.874100 259.874100 -202.215900 -202.215900
6 236.060420 236.060420 -226.029580 -226.029580
11 212.460740 212.460740 -249.629260 -249.629260
16 177.391396 177.391396 -284.698604 -284.698604
55 172.977258 172.977258 -289.112742 -289.112742
57 169.084890 169.084890 -293.005110 -293.005110
64 152.749351 152.749351 -309.340649 -309.340649
75 151.563238 151.563238 -310.526762 -310.526762
125 129.827885 129.827885 -332.262115 -332.262115
162 125.498418 125.498418 -336.591582 -336.591582
163 117.357620 117.357620 -344.732380 -344.732380
194 117.273381 117.273381 -344.816619 -344.816619
196 115.271120 115.271120 -346.818880 -346.818880
407 115.022367 115.022367 -347.067633 -347.067633
486 114.974284 114.974284 -347.115716 -347.115716
535 114.816671 114.816671 -347.273329 -347.273329
835 114.640538 114.640538 -347.449462 -347.449462
972 114.615468 114.615468 -347.474532 -347.474532
1045 114.594927 114.594927 -347.495073 -347.495073
1181 114.584021 114.584021 -347.505979 -347.505979
1191 114.573553 114.573553 -347.516447 -347.516447
1232 114.541998 114.541998 -347.548002 -347.548002
1259 114.509677 114.509677 -347.580323 -347.580323
1276 114.495008 114.495008 -347.594992 -347.594992
1358 114.457043 114.457043 -347.632957 -347.632957
1513 114.425729 114.425729 -347.664271 -347.664271
2051 114.423135 114.423135 -347.666865 -347.666865
2077 114.422380 114.422380 -347.667620 -347.667620
2284 114.422238 114.422238 -347.667762 -347.667762
2299 114.420501 114.420501 -347.669499 -347.669499
2445 114.420479 114.420479 -347.669521 -347.669521
2475 114.419032 114.419032 -347.670968 -347.670968
2874 114.418627 114.418627 -347.671373 -347.671373
3131 114.418603 114.418603 -347.671397 -347.671397
3182 114.418484 114.418484 -347.671516 -347.671516
3201 114.418331 114.418331 -347.671669 -347.671669
3492 114.418316 114.418316 -347.671684 -347.671684
3600 114.418302 114.418302 -347.671698 -347.671698
3731 114.418284 114.418284 -347.671716 -347.671716
3848 114.418283 114.418283 -347.671717 -347.671717
3899 114.418281 114.418281 -347.671719 -347.671719
3954 114.418281 114.418281 -347.671719 -347.671719
3982 114.418257 114.418257 -347.671743 -347.671743
4255 114.418253 114.418253 -347.671747 -347.671747
4573 114.418252 114.418252 -347.671748 -347.671748
4715 114.418251 114.418251 -347.671749 -347.671749
4746 114.418251 114.418251 -347.671749 -347.671749
4942 114.418250 114.418250 -347.671750 -347.671750
4975 114.418250 114.418250 -347.671750 -347.671750
5009 114.418250 114.418250 -347.671750 -347.671750
5184 114.418249 114.418249 -347.671751 -347.671751
5532 114.418249 114.418249 -347.671751 -347.671751
5647 114.418249 114.418249 -347.671751 -347.671751
5649 114.418249 114.418249 -347.671751 -347.671751
5794 114.418249 114.418249 -347.671751 -347.671751
6000 114.418249 114.418249 -347.671751 -347.671751
6140 114.418249 114.418249 -347.671751 -347.671751
6236 114.418249 114.418249 -347.671751 -347.671751
6348 114.418249 114.418249 -347.671751 -347.671751
6578 114.418249 114.418249 -347.671751 -347.671751
6701 114.418249 114.418249 -347.671751 -347.671751
6758 114.418249 114.418249 -347.671751 -347.671751
7133 114.418249 114.418249 -347.671751 -347.671751
7189 114.418249 114.418249 -347.671751 -347.671751
7356 114.418249 114.418249 -347.671751 -347.671751
7517 114.418249 114.418249 -347.671751 -347.671751
7539 114.418249 114.418249 -347.671751 -347.671751
7674 114.418249 114.418249 -347.671751 -347.671751
7796 114.418249 114.418249 -347.671751 -347.671751
8072 114.418249 114.418249 -347.671751 -347.671751
8256 114.418249 114.418249 -347.671751 -347.671751
8464 114.418249 114.418249 -347.671751 -347.671751
8636 114.418249 114.418249 -347.671751 -347.671751
8742 114.418249 114.418249 -347.671751 -347.671751
8815 114.418249 114.418249 -347.671751 -347.671751
8892 114.418249 114.418249 -347.671751 -347.671751
8925 114.418249 114.418249 -347.671751 -347.671751
8983 114.418249 114.418249 -347.671751 -347.671751
9023 114.418249 114.418249 -347.671751 -347.671751
9181 114.418249 114.418249 -347.671751 -347.671751
9239 114.418249 114.418249 -347.671751 -347.671751
9468 114.418249 114.418249 -347.671751 -347.671751
9608 114.418249 114.418249 -347.671751 -347.671751
9621 114.418249 114.418249 -347.671751 -347.671751
9920 114.418249 114.418249 -347.671751 -347.671751
10201 114.418249 114.418249 -347.671751 -347.671751
10285 114.418249 114.418249 -347.671751 -347.671751
10468 114.418249 114.418249 -347.671751 -347.671751
10904 114.418249 114.418249 -347.671751 -347.671751
50000 114.418249 114.418249 -347.671751 -347.671751
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1604.723838 1604.723838 1142.633838 1142.633838
2 489.320350 489.320350 27.230350 27.230350
4 295.228625 295.228625 -166.861375 -166.861375
8 115.517547 115.517547 -346.572453 -346.572453
44 113.469313 113.469313 -348.620687 -348.620687
57 112.068922 112.068922 -350.021078 -350.021078
66 110.867536 110.867536 -351.222464 -351.222464
78 108.759115 108.759115 -353.330885 -353.330885
94 107.576471 107.576471 -354.513529 -354.513529
103 107.022080 107.022080 -355.067920 -355.067920
126 100.635808 100.635808 -361.454192 -361.454192
150 98.781171 98.781171 -363.308829 -363.308829
151 88.693749 88.693749 -373.396251 -373.396251
195 87.535557 87.535557 -374.554443 -374.554443
201 84.342802 84.342802 -377.747198 -377.747198
212 74.782737 74.782737 -387.307263 -387.307263
236 74.649488 74.649488 -387.440512 -387.440512
239 74.076682 74.076682 -388.013318 -388.013318
278 73.334721 73.334721 -388.755279 -388.755279
293 73.214838 73.214838 -388.875162 -388.875162
296 73.055365 73.055365 -389.034635 -389.034635
350 72.949645 72.949645 -389.140355 -389.140355
363 72.628256 72.628256 -389.461744 -389.461744
407 72.096337 72.096337 -389.993663 -389.993663
615 71.903837 71.903837 -390.186163 -390.186163
618 71.458854 71.458854 -390.631146 -390.631146
742 70.966409 70.966409 -391.123591 -391.123591
756 70.951781 70.951781 -391.138219 -391.138219
951 70.901821 70.901821 -391.188179 -391.188179
1071 70.855197 70.855197 -391.234803 -391.234803
1097 70.805714 70.805714 -391.284286 -391.284286
1377 70.776671 70.776671 -391.313329 -391.313329
1626 70.773681 70.773681 -391.316319 -391.316319
1632 70.714300 70.714300 -391.375700 -391.375700
1665 70.694142 70.694142 -391.395858 -391.395858
1694 70.670138 70.670138 -391.419862 -391.419862
1737 70.663863 70.663863 -391.426137 -391.426137
1897 70.650372 70.650372 -391.439628 -391.439628
2233 70.646577 70.646577 -391.443423 -391.443423
2243 70.646243 70.646243 -391.443757 -391.443757
2376 70.643816 70.643816 -391.446184 -391.446184
2477 70.643794 70.643794 -391.446206 -391.446206
2513 70.642187 70.642187 -391.447813 -391.447813
2818 70.641619 70.641619 -391.448381 -391.448381
2957 70.641526 70.641526 -391.448474 -391.448474
3239 70.641418 70.641418 -391.448582 -391.448582
3436 70.641405 70.641405 -391.448595 -391.448595
3531 70.641380 70.641380 -391.448620 -391.448620
3574 70.641380 70.641380 -391.448620 -391.448620
3587 70.641314 70.641314 -391.448686 -391.448686
3804 70.641308 70.641308 -391.448692 -391.448692
3907 70.641302 70.641302 -391.448698 -391.448698
4079 70.641280 70.641280 -391.448720 -391.448720
4442 70.641280 70.641280 -391.448720 -391.448720
4474 70.641276 70.641276 -391.448724 -391.448724
4800 70.641276 70.641276 -391.448724 -391.448724
5400 70.641276 70.641276 -391.448724 -391.448724
5451 70.641276 70.641276 -391.448724 -391.448724
5481 70.641276 70.641276 -391.448724 -391.448724
5512 70.641275 70.641275 -391.448725 -391.448725
5646 70.641275 70.641275 -391.448725 -391.448725
5730 70.641275 70.641275 -391.448725 -391.448725
6037 70.641275 70.641275 -391.448725 -391.448725
6073 70.641275 70.641275 -391.448725 -391.448725
6277 70.641275 70.641275 -391.448725 -391.448725
