"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 42.850334 42.850334 122.330334 122.330334
8 31.990982 31.990982 111.470982 111.470982
50000 46.996709 31.990982 126.476709 111.470982
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 44.854002 44.854002 124.334002 124.334002
2 41.117572 41.117572 120.597572 120.597572
3 22.001011 22.001011 101.481011 101.481011
4 9.978181 9.978181 89.458181 89.458181
50000 79.208038 9.978181 158.688038 89.458181
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 49.064382 49.064382 128.544382 128.544382
3 48.229180 48.229180 127.709180 127.709180
5 48.135741 48.135741 127.615741 127.615741
7 47.998093 47.998093 127.478093 127.478093
8 44.016524 44.016524 123.496524 123.496524
10 26.793818 26.793818 106.273818 106.273818
50000 26.793818 26.793818 106.273818 106.273818
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 53.704453 53.704453 133.184453 133.184453
2 36.002687 36.002687 115.482687 115.482687
7 32.927429 32.927429 112.407429 112.407429
50000 70.362355 32.927429 149.842355 112.407429
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 57.940162 57.940162 137.420162 137.420162
3 43.419960 43.419960 122.899960 122.899960
8 16.115245 16.115245 95.595245 95.595245
50000 40.880672 16.115245 120.360672 95.595245
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 100.711543 100.711543 495.191543 495.191543
3 61.266985 61.266985 455.746985 455.746985
5 34.141823 34.141823 428.621823 428.621823
50000 80.525561 34.141823 475.005561 428.621823
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 80.848528 80.848528 475.328528 475.328528
6 64.815332 64.815332 459.295332 459.295332
7 35.209447 35.209447 429.689447 429.689447
50000 78.526805 35.209447 473.006805 429.689447
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 95.918829 95.918829 490.398829 490.398829
2 72.764712 72.764712 467.244712 467.244712
4 46.431140 46.431140 440.911140 440.911140
10 33.538365 33.538365 428.018365 428.018365
50000 33.538365 33.538365 428.018365 428.018365
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 116.152180 116.152180 510.632180 510.632180
2 114.734105 114.734105 509.214105 509.214105
3 108.928449 108.928449 503.408449 503.408449
4 88.953802 88.953802 483.433802 483.433802
8 4.084549 4.084549 398.564549 398.564549
50000 90.755609 4.084549 485.235609 398.564549
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 87.828781 87.828781 482.308781 482.308781
3 22.135759 22.135759 416.615759 416.615759
50000 24.457160 22.135759 418.937160 416.615759
